date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:51	103046/103046	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jun%202020%2010:50:04%20GMT	https://choccyorwine.com/quizandmystory	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/quizandmystory.html	(from )
16:33:52	168/168	---MCZ	200	added ('OK')	text/plain	etag:W/%225eed257a-c6%22	https://choccyorwine.com/robots.txt		(from )
16:33:56	435334/435334	---MCZ	200	added ('OK')	text/css	etag:W/%225e3a1efe-6a486%22	http://choccyorwine.com/assets/lander.css	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/assets/lander.css	(from https://choccyorwine.com/quizandmystory)
16:36:05	4947/4947	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225db24f31-1353%22	http://choccyorwine.com/assets/userevents/application.js	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/assets/userevents/application.js	(from https://choccyorwine.com/quizandmystory)
16:36:06	26625/26625	---MCZ	200	added ('OK')	text/css	etag:W/%22e140a7d32f343530f016095df3cc2ae4%22	https://use.fontawesome.com/releases/v5.9.0/css/v4-shims.css	C:/Users/user/Documents/my%20copied%20website/project1/use.fontawesome.com/releases/v5.9.0/css/v4-shims.css	(from https://choccyorwine.com/quizandmystory)
16:36:06	1878/1878	---M--	200	added ('OK')	image/png	etag:%2288fe00653204297b9423bf6d9786443d%22	https://d2saw6je89goi1.cloudfront.net/uploads/digital_asset/file/506141/love_heart16.png	C:/Users/user/Documents/my%20copied%20website/project1/d2saw6je89goi1.cloudfront.net/uploads/digital_asset/file/506141/love_heart16.png	(from https://choccyorwine.com/quizandmystory)
16:36:18	247021/247021	---M--	200	added ('OK')	image/jpeg	etag:%226c01318663377408d0d33c742f305086%22	http://choccyorwine.com/hosted/images/59/fbe7961eb043138beaef2243562227/Lepto-Connect-Background-J.jpg	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/hosted/images/59/fbe7961eb043138beaef2243562227/Lepto-Connect-Background-J.jpg	(from https://choccyorwine.com/quizandmystory)
16:36:36	216841/216841	---M--	200	added ('OK')	image/jpeg	etag:%22b640daa1854bf7f74bb1c344337d4999%22	http://choccyorwine.com/hosted/images/b6/84537c59384cd48cd5b6d4d4bbffd7/Lep-con-d4-a1-image.jpg	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/hosted/images/b6/84537c59384cd48cd5b6d4d4bbffd7/Lep-con-d4-a1-image.jpg	(from https://choccyorwine.com/quizandmystory)
16:36:48	139749/139749	---M--	200	added ('OK')	image/jpeg	etag:%22e3cbad75a009e2f541152c73cc8f700a%22	http://choccyorwine.com/hosted/images/04/fd86394ef14207bba1cd64a180aba7/Upset-Woman.jpg	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/hosted/images/04/fd86394ef14207bba1cd64a180aba7/Upset-Woman.jpg	(from https://choccyorwine.com/quizandmystory)
16:36:50	7889/7889	---M--	200	added ('OK')	image/png	etag:%22206c6231b61c9ba5596ad16ed8d8b1c3%22	http://choccyorwine.com/hosted/images/55/68bface35f42ecb5c1630379823705/Up-arrows.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/hosted/images/55/68bface35f42ecb5c1630379823705/Up-arrows.png	(from https://choccyorwine.com/quizandmystory)
16:36:51	22056/22056	---M--	200	added ('OK')	image/jpeg	etag:%22b1e7915c9f096caaf02637c08bbcaeed%22	http://choccyorwine.com/hosted/images/8f/30d718bfab43389afdb9ef8f594f47/CHOCOLATE-OR-WINE-LOGO.jpg	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/hosted/images/8f/30d718bfab43389afdb9ef8f594f47/CHOCOLATE-OR-WINE-LOGO.jpg	(from https://choccyorwine.com/quizandmystory)
16:36:53	103037/103037	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2009:02:23%20GMT	https://choccyorwine.com/quizwithmystory	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/quizwithmystory.html	(from https://choccyorwine.com/quizandmystory)
16:36:56	43885/43885	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Jun%202020%2014:36:55%20GMT	https://choccyorwine.com/termsofservpage	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/termsofservpage.html	(from https://choccyorwine.com/quizandmystory)
16:37:00	54469/54469	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2009:02:23%20GMT	https://choccyorwine.com/privacypolpage	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/privacypolpage.html	(from https://choccyorwine.com/quizandmystory)
